_source,admin_agency,admin_department,admin_state,admin_unit_name,admin_unit_type,dataset,object_id,shape_area_sq_deg,sma_id
blm_sma,UND,UND,AZ,,,blm_sma,1,449689228.9533807,1
blm_sma,UND,UND,AZ,,,blm_sma,2,5555178.166579192,1
blm_sma,UND,UND,AZ,Undetermined,,blm_sma,3,36856.321932387575,1
blm_sma,UND,UND,AZ,,,blm_sma,4,91336637.47506332,1
blm_sma,UND,UND,AZ,,,blm_sma,5,793789457.3549464,1
blm_sma,UND,UND,AZ,,,blm_sma,6,293678.8314629938,1
blm_sma,UND,UND,NM,,,blm_sma,16,1485159607201.1099,1
blm_sma,BLM,DOI,AZ,Bureau of Land Management,Bureau of Land Management AZ,blm_sma,21,489734597.6436786,2
blm_sma,BLM,DOI,AZ,Bureau of Land Management,Bureau of Land Management AZ,blm_sma,22,72065839865.76056,2
blm_sma,BLM,DOI,NM,Bureau of Land Management,Bureau of Land Management NM,blm_sma,28,74574013233.83418,2
blm_sma,BIA,DOI,AZ,,,blm_sma,53,1487633214.4945414,3
blm_sma,BIA,DOI,AZ,,,blm_sma,54,38889840.794222,3
blm_sma,BIA,DOI,AZ,,,blm_sma,55,1453023588.6533482,3
blm_sma,BIA,DOI,AZ,,,blm_sma,56,139445420.97786725,3
blm_sma,BIA,DOI,AZ,,,blm_sma,57,1070099131.9231787,3
blm_sma,BIA,DOI,AZ,,,blm_sma,58,6300917468.447907,3
blm_sma,BIA,DOI,AZ,,,blm_sma,59,10031832165.820665,3
blm_sma,BIA,DOI,AZ,,,blm_sma,60,2460067.528824297,3
blm_sma,BIA,DOI,AZ,,,blm_sma,61,402974595.3819963,3
blm_sma,BIA,DOI,AZ,,,blm_sma,62,121581313.70115818,3
blm_sma,BIA,DOI,AZ,,,blm_sma,63,146207196.73384574,3
blm_sma,BIA,DOI,AZ,,,blm_sma,64,2176756165.082455,3
blm_sma,BIA,DOI,AZ,,,blm_sma,65,317686987.64531183,3
blm_sma,BIA,DOI,AZ,,,blm_sma,66,10742418910.670122,3
blm_sma,BIA,DOI,AZ,,,blm_sma,67,766589284.9611783,3
blm_sma,BIA,DOI,AZ,,,blm_sma,68,8233260.066172357,3
blm_sma,BIA,DOI,AZ,,,blm_sma,69,3999986.104972316,3
blm_sma,BIA,DOI,AZ,,,blm_sma,70,12802449.063094033,3
blm_sma,BIA,DOI,AZ,,,blm_sma,71,4100762.7792715146,3
blm_sma,BIA,DOI,AZ,,,blm_sma,72,82415193.65185216,3
blm_sma,BIA,DOI,AZ,,,blm_sma,73,61689411933.30397,3
blm_sma,BIA,DOI,AZ,,,blm_sma,74,180610324.51094434,3
blm_sma,BIA,DOI,AZ,,,blm_sma,75,268789815.8666626,3
blm_sma,BIA,DOI,AZ,,,blm_sma,76,37980249.83940375,3
blm_sma,BIA,DOI,AZ,,,blm_sma,77,137358485.21324956,3
blm_sma,BIA,DOI,AZ,,,blm_sma,78,199082550.36652833,3
