_source,activity,all_lessee,dataset,geometry_geojson,gloid,lease_number,lease_status,objectid_1,primary_lessee,project_latitude,project_longitude,project_name,project_number,purposeclass,total_consideration
glo_upland_leases,Pipeline-Water,City Of Presidio,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-104.276907332938, 29.5832476233492], [-104.276877352563, 29.5759578963127], [-104.284977475853, 29.5687281368005], [-104.289177560642, 29.5687180936787], [-104.289307527999, 29.5830874876128], [-104.276907332938, 29.5832476233492]]]}",SL920011,SL920011,Active,1,City of Presidio,29.575556,-104.276111,SL920011,P022196,Agricultural (SL),120000
glo_upland_leases,Airport,Presidio County,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-104.363014305146, 29.6402971238119], [-104.363302137041, 29.6449643120147], [-104.361101569124, 29.6450678815432], [-104.360808584493, 29.6403154468812], [-104.363014305146, 29.6402971238119]]]}",SL940009,SL940009,Active,2,Presidio County,29.648757,-104.360932,SL940009,P022254,Commercial (LC/ME/SL/LA),0
glo_upland_leases,Airport,Presidio County,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-104.364010760477, 29.6485334156315], [-104.360834385904, 29.6486607382972], [-104.361348210569, 29.6439546469889], [-104.362920603676, 29.6438916193939], [-104.364010760477, 29.6485334156315]]]}",SL940009,SL940009,Active,3,Presidio County,29.648757,-104.360932,SL940009,P022254,Commercial (LC/ME/SL/LA),0
glo_upland_leases,Retail ; Retail Shopping Center,West 38th Street Ltd,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-97.7427467585709, 30.3051625367019], [-97.7427903044043, 30.3051833069875], [-97.7428164238195, 30.3052242837135], [-97.7428159557972, 30.3052803977967], [-97.7428007338447, 30.3053371532352], [-97.7405824484552, 30.3089565149393], [-97.7399860749043, 30.308686989004], [-97.7398097634618, 30.3089602351593], [-97.7397902628336, 30.3089511032869], [-97.7397522874533, 30.3090120087884], [-97.7393495852879, 30.3088234516418], [-97.7396918946151, 30.3082712033299], [-97.7388591662282, 30.3078796080612], [-97.7397946007982, 30.3063518283688], [-97.7384354075525, 30.3057275449157], [-97.7389592942464, 30.304873351451], [-97.7373821463566, 30.3041451510548], [-97.7380389810176, 30.3030728540878], [-97.7381676009016, 30.3030384417253], [-97.7387094404265, 30.3032856497243], [-97.7388532436355, 30.303368796804], [-97.7390452899685, 30.3034735536322], [-97.7412781675916, 30.3044922282595], [-97.7417424438798, 30.3047041397743], [-97.7423060379059, 30.3049613816748], [-97.7424541593165, 30.3050289874059], [-97.7427467585709, 30.3051625367019]]]}",LC960040,LC960040,Active,4,West 38th Street Ltd,30.30747600,-97.73988420,LC960040,P011356,Commercial (LC/ME/SL/LA),4000
glo_upland_leases,Pipeline-Sewage,El Paso County Water Authority M.U.D.,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-106.200774089548, 31.682509804329], [-106.200619927866, 31.6824721556178], [-106.200564312268, 31.6824498713957], [-106.198460371635, 31.6800212459392], [-106.198334568867, 31.6685191746978], [-106.215463143445, 31.6685314450541], [-106.215624983028, 31.6825288885887], [-106.200774089548, 31.682509804329]]]}",SL960059,SL960059,Active,5,El Paso County Water Authority M.U.D.,31.67551521,-106.2070863,SL960059,P022358,Commercial (LC/ME/SL/LA),0
glo_upland_leases,Pipeline-Sewage,El Paso County Water Authority M.U.D.,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-106.199904192468, 31.6825086240326], [-106.199902475788, 31.6825030275621], [-106.199891945736, 31.6824739451741], [-106.198821978571, 31.6810859890025], [-106.198732817186, 31.681070218348], [-106.198523802575, 31.6811692714683], [-106.198490195702, 31.6812373038243], [-106.198501076995, 31.6812635749492], [-106.198573482105, 31.6816096129626], [-106.198585232069, 31.682506834477], [-106.198487538485, 31.6825067266908], [-106.198470771431, 31.6809759697113], [-106.198714982034, 31.6809204291037], [-106.20000712323, 31.6824182930897], [-106.200086354638, 31.6825088801203], [-106.199904192468, 31.6825086240326]]]}",SL960059,SL960059,Active,6,El Paso County Water Authority M.U.D.,31.67551521,-106.2070863,SL960059,P022358,Commercial (LC/ME/SL/LA),0
glo_upland_leases,Miscellaneous ; Office Use,"Recording For The Blind, Inc.",glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-97.7406853998783, 30.3158172897498], [-97.7409591605628, 30.3154426719568], [-97.7408319393556, 30.3153752827881], [-97.740958485928, 30.3151877149904], [-97.7410140727795, 30.3152162247791], [-97.7410496586412, 30.315163472668], [-97.7411373890101, 30.3152077386898], [-97.7411014303476, 30.315261037491], [-97.7412527371842, 30.3153386421376], [-97.7412840362853, 30.3153581051342], [-97.7413113145272, 30.3153816502523], [-97.7413338649358, 30.3154086664109], [-97.7413511054027, 30.3154384549006], [-97.7413625876687, 30.3154702448926], [-97.741368016188, 30.3155032128265], [-97.7413672490267, 30.3155365056749], [-97.7413603068462, 30.3155692618809], [-97.7413473693095, 30.3156006322969], [-97.7413287714882, 30.3156298057744], [-97.7411892110222, 30.3158294934191], [-97.7409623738366, 30.3157109323461], [-97.740847850316, 30.3158747912984], [-97.7408146360066, 30.3158822428453], [-97.7406853998783, 30.3158172897498]]]}",LC960044,LC960044,Active,7,"Recording For the Blind, Inc.",30.31353580,-97.73734420,LC960044,P011360,Commercial (LC/ME/SL/LA),0
glo_upland_leases,Agriculture,Texas Department of Criminal Justice,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-96.3736400422724, 30.537809577107], [-96.3743148019166, 30.5375757845587], [-96.3742284324953, 30.5380579829589], [-96.374148431231, 30.538517981286], [-96.3741784331649, 30.538917951889], [-96.3743384554563, 30.5393379635823], [-96.3744284370034, 30.5398579112157], [-96.374578427808, 30.5407078766372], [-96.3747884530232, 30.5413478659082], [-96.3750884517005, 30.5419578723917], [-96.3756384991321, 30.5424478500161], [-96.376208491858, 30.5429478225668], [-96.3765985160999, 30.543537823553], [-96.37675851773, 30.5441378004362], [-96.376748499718, 30.5444177639835], [-96.3767185247336, 30.5447477808831], [-96.3768185126146, 30.5450177408451], [-96.3768485208367, 30.5457577324227], [-96.3767485185826, 30.5460777004998], [-96.3763184788864, 30.5464377051997], [-96.3756984940167, 30.5466376890963], [-96.3748484317381, 30.5466476721885], [-96.3746184378725, 30.5465277040386], [-96.3744384208794, 30.546367691088], [-96.3739284472926, 30.5464577023701], [-96.3734384351698, 30.5461677043143], [-96.3730184188755, 30.5458277044236], [-96.3725184013171, 30.545337722192], [-96.3719083985267, 30.5447977352149], [-96.3710983517024, 30.544177757037], [-96.370698333703, 30.5440377371087], [-96.3699083516489, 30.5437377530765], [-96.369308299497, 30.5435977456661], [-96.3686182963408, 30.543337769057], [-96.3679482851911, 30.5431777717383], [-96.3672482397683, 30.5429777799417], [-96.3664782155849, 30.5428178036928], [-96.3658682047097, 30.5427177722731], [-96.365238233269, 30.5425378030379], [-96.3646381883036, 30.5424878042176], [-96.363978163725, 30.5424577832501], [-96.3635381554241, 30.5424877786863], [-96.3626481270985, 30.5426177825287], [-96.3621781492031, 30.5425977605836], [-96.3613480968974, 30.5426277675816], [-96.3609281156375, 30.5426777794823], [-96.3605180814227, 30.5426277466924], [-96.3601181002542, 30.5425577677434], [-96.359858073912, 30.5424177810682], [-96.3596080476157, 30.5421777970307], [-96.3595580455903, 30.5419877944827], [-96.3594880497617, 30.5413778260977], [-96.3593180525773, 30.541127819468], [-96.359188035813, 30.5408578092331], [-96.3591080632948, 30.5404578234086], [-96.3588580423883, 30.539767872152], [-96.3587080569735, 30.5392278851489], [-96.3586280395396, 30.5389879110234], [-96.3585680212988, 30.5386679072047], [-96.3584380647216, 30.5383978978673], [-96.3581980178097, 30.5377979389063], [-96.3581080147031, 30.537567929799], [-96.3578580252376, 30.5370279646077], [-96.3577580319667, 30.5366079522091], [-96.3577380354685, 30.5362379679121], [-96.3577380067224, 30.5361380047662], [-96.357518022784, 30.5352980021789], [-96.3575380174856, 30.5349780450064], [-96.3574080375522, 30.5344880590968], [-96.3572779893469, 30.5338480842001], [-96.3571780041608, 30.5335080767677], [-96.357017998039, 30.533138111613], [-96.356917976022, 30.5328280830926], [-96.3567380102329, 30.5323481088144], [-96.3565579797652, 30.5319181604388], [-96.3563480039574, 30.531468175088], [-96.3562379576401, 30.5310781724281], [-96.356087974022, 30.530718196677], [-96.3558779910277, 30.5301981807725], [-96.3556579936146, 30.5297882319963], [-96.3555479508906, 30.5294382316841], [-96.3554279889693, 30.5290882215995], [-96.3553179471436, 30.5285382490792], [-96.3552179350081, 30.5279482869705], [-96.3551879384641, 30.5274883028141], [-96.3551579401235, 30.5271083265398], [-96.355057959429, 30.5263383472114], [-96.3550579495476, 30.5259883398883], [-96.3550079421323, 30.5254983519702], [-96.3550279745632, 30.5247184000747], [-96.3550679774411, 30.5243984188917], [-96.355127970529, 30.523768411725], [-96.3552279431387, 30.5233884495356], [-96.3553379436418, 30.5227684786315], [-96.3555179803978, 30.5222984890035], [-96.3558279827142, 30.521828514901], [-96.3561479832796, 30.5210985279298], [-96.3566180087857, 30.5205185691111], [-96.3569180038698, 30.5203085572441], [-96.3571579878996, 30.5201485931869], [-96.357638035011, 30.5198485771641], [-96.3581880330353, 30.5195586172868], [-96.358978036649, 30.5192086048912], [-96.3595980942823, 30.5190486181294], [-96.3601980709757, 30.5189086509714], [-96.3606081132754, 30.5187086440317], [-96.3612381332252, 30.5185086560272], [-96.3617181336242, 30.5184786702116], [-96.3621281543643, 30.5184586742456], [-96.362558132975, 30.5184286737111], [-96.3631981475806, 30.5184186815275], [-96.3634381576616, 30.5184386759539], [-96.3636981669358, 30.518458648708], [-96.3642681928993, 30.5185086691829], [-96.3645598076001, 30.5185261098292], [-96.36503586709, 30.5185545850419], [-96.3636194475674, 30.5231649088063], [-96.364962553783, 30.5280868985817], [-96.3649717516332, 30.5280794717348], [-96.3663553359355, 30.5303244753473], [-96.3701626179935, 30.5365001044226], [-96.3718048515206, 30.5371156231566], [-96.3736400422724, 30.537809577107]]]}",SL20030003,SL20030003,Active,8,Texas Department of Criminal Justice,30.53327792,-96.36386772,SL20030003,P020623,"Public, Government (CL/SL/LA)",25244177.25
glo_upland_leases,Agriculture,Texas Department of Criminal Justice,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-96.3819859742684, 30.5369001955252], [-96.3827148349506, 30.536242327085], [-96.382908657253, 30.5366880967441], [-96.3830586884818, 30.5370580623045], [-96.3835086707773, 30.5375080441983], [-96.3841387006086, 30.5379880386288], [-96.3847586836817, 30.5383380313474], [-96.385408735164, 30.5387080068708], [-96.3857287474076, 30.5389980303004], [-96.3861587637475, 30.5395380131657], [-96.3865487367854, 30.5400679783131], [-96.3867387664006, 30.5405679623433], [-96.3867887423748, 30.5409979242683], [-96.3868787634478, 30.5413879211414], [-96.386908749212, 30.5418579120385], [-96.386768761148, 30.5422478791527], [-96.3866687687754, 30.5426478606987], [-96.3864587579333, 30.543017852297], [-96.3861087141115, 30.5434478528894], [-96.3856887139869, 30.5436878446194], [-96.385238702047, 30.5436978589616], [-96.3845187068384, 30.5436678430102], [-96.3840486795356, 30.5436378316916], [-96.3834886509229, 30.5435678202029], [-96.3829786692513, 30.5435378134953], [-96.3825786503536, 30.5436378487123], [-96.3818786193038, 30.543497805569], [-96.3813886296388, 30.5432278390601], [-96.380978595424, 30.5428678271007], [-96.3807385961228, 30.5425278442808], [-96.3804185757944, 30.5420978899034], [-96.3802885967593, 30.5416378683015], [-96.3801885774373, 30.5408978987107], [-96.3801485646779, 30.5404079372502], [-96.3800985878054, 30.5400579334224], [-96.3801286121971, 30.5397179376698], [-96.3800785931038, 30.5391579849887], [-96.3800885850647, 30.5386479788374], [-96.3800185649816, 30.5382379945394], [-96.3798685804651, 30.5376880134702], [-96.3796585687247, 30.5371080368402], [-96.379358586217, 30.5365680683184], [-96.3789712272766, 30.5362695212321], [-96.3819859742684, 30.5369001955252]]]}",SL20030003,SL20030003,Active,9,Texas Department of Criminal Justice,30.53327792,-96.36386772,SL20030003,P020623,"Public, Government (CL/SL/LA)",25244177.25
glo_upland_leases,Agriculture,Texas Department of Criminal Justice,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-96.4095838843748, 30.5395839546775], [-96.4095493459488, 30.5395881078961], [-96.4090693284818, 30.5396680727949], [-96.4088825678359, 30.5397450047311], [-96.4087293332147, 30.5398080997978], [-96.4082592807592, 30.5398980924024], [-96.4079493026973, 30.5399180885985], [-96.4075792686655, 30.5400680665144], [-96.4071692955361, 30.5401980596697], [-96.4067992767757, 30.5402580534762], [-96.4064892520014, 30.5402680673984], [-96.406179235312, 30.5402680550193], [-96.4058992699639, 30.540178038773], [-96.4054592580697, 30.5400480765387], [-96.4051692154206, 30.539888068384], [-96.4049592369179, 30.5397280769869], [-96.4047692396421, 30.5395280974281], [-96.4042591852069, 30.5390280740012], [-96.4039792027907, 30.5387681099166], [-96.403679208605, 30.5384581032346], [-96.4034292011732, 30.5380781071963], [-96.4033391621339, 30.5377581498974], [-96.4032791744359, 30.537478129238], [-96.4032092001669, 30.5372781520096], [-96.4030491697905, 30.537038144439], [-96.4028291615977, 30.5368281597661], [-96.4026091677779, 30.5365381708642], [-96.4022891303815, 30.5362281880134], [-96.4019291520909, 30.5359081967661], [-96.4012891168241, 30.5354382165358], [-96.4004691193614, 30.5349782469516], [-96.399789091098, 30.5346982151826], [-96.3990690554652, 30.5344882208085], [-96.3981990550788, 30.5342582340394], [-96.3972990114361, 30.5340482603789], [-96.396279005872, 30.5339082537004], [-96.3956090028072, 30.5338282685844], [-96.3946789662138, 30.5336482302611], [-96.3937489305187, 30.5332982415343], [-96.3929689098828, 30.5329782669423], [-96.392258875194, 30.53276828742], [-96.3915388656123, 30.5327282843422], [-96.3911288718217, 30.5327782657481], [-96.3907888397237, 30.5326782735079], [-96.3900888688611, 30.532438267725], [-96.3892188478135, 30.5321582812492], [-96.3886188046447, 30.5320582744432], [-96.3883088032266, 30.5320682892108], [-96.3872726252925, 30.5320916513238], [-96.3878573809318, 30.5314975417532], [-96.3923832460468, 30.5311225843355], [-96.4073890144715, 30.5375467880198], [-96.4095838843748, 30.5395839546775]]]}",SL20030003,SL20030003,Active,10,Texas Department of Criminal Justice,30.53327792,-96.36386772,SL20030003,P020623,"Public, Government (CL/SL/LA)",25244177.25
